教室可容纳学生,教室编号,资源,教室ID
200,10101,投影仪；黑板；黑板刷；粉笔,1-101
80,10102,投影仪；黑板；黑板刷；粉笔,1-102
80,10103,投影仪；黑板；黑板刷；粉笔,1-103
80,10104,投影仪；黑板；黑板刷；粉笔,1-104
300,10105,投影仪；黑板；黑板刷；粉笔,1-105
300,10106,投影仪；黑板；黑板刷；粉笔,1-106
120,10107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-107
300,10108,投影仪；黑板；黑板刷；粉笔,1-108
80,10109,投影仪；黑板；黑板刷；粉笔,1-109
80,10110,投影仪；黑板；黑板刷；粉笔,1-110
80,10111,投影仪；黑板；黑板刷；粉笔,1-111
80,10112,投影仪；黑板；黑板刷；粉笔,1-112
300,10201,投影仪；黑板；黑板刷；粉笔,1-201
80,10202,投影仪；黑板；黑板刷；粉笔,1-202
80,10203,投影仪；黑板；黑板刷；粉笔,1-203
80,10204,投影仪；黑板；黑板刷；粉笔,1-204
200,10205,投影仪；黑板；黑板刷；粉笔,1-205
200,10206,投影仪；黑板；黑板刷；粉笔,1-206
120,10207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-207
300,10208,投影仪；黑板；黑板刷；粉笔,1-208
80,10209,投影仪；黑板；黑板刷；粉笔,1-209
80,10210,投影仪；黑板；黑板刷；粉笔,1-210
80,10211,投影仪；黑板；黑板刷；粉笔,1-211
80,10212,投影仪；黑板；黑板刷；粉笔,1-212
300,10301,投影仪；黑板；黑板刷；粉笔,1-301
80,10302,投影仪；黑板；黑板刷；粉笔,1-302
80,10303,投影仪；黑板；黑板刷；粉笔,1-303
80,10304,投影仪；黑板；黑板刷；粉笔,1-304
300,10305,投影仪；黑板；黑板刷；粉笔,1-305
200,10306,投影仪；黑板；黑板刷；粉笔,1-306
120,10307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-307
300,10308,投影仪；黑板；黑板刷；粉笔,1-308
80,10309,投影仪；黑板；黑板刷；粉笔,1-309
80,10310,投影仪；黑板；黑板刷；粉笔,1-310
80,10311,投影仪；黑板；黑板刷；粉笔,1-311
80,10312,投影仪；黑板；黑板刷；粉笔,1-312
300,10401,投影仪；黑板；黑板刷；粉笔,1-401
80,10402,投影仪；黑板；黑板刷；粉笔,1-402
80,10403,投影仪；黑板；黑板刷；粉笔,1-403
80,10404,投影仪；黑板；黑板刷；粉笔,1-404
300,10405,投影仪；黑板；黑板刷；粉笔,1-405
200,10406,投影仪；黑板；黑板刷；粉笔,1-406
120,10407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-407
300,10408,投影仪；黑板；黑板刷；粉笔,1-408
80,10409,投影仪；黑板；黑板刷；粉笔,1-409
80,10410,投影仪；黑板；黑板刷；粉笔,1-410
80,10411,投影仪；黑板；黑板刷；粉笔,1-411
80,10412,投影仪；黑板；黑板刷；粉笔,1-412
300,10501,投影仪；黑板；黑板刷；粉笔,1-501
80,10502,投影仪；黑板；黑板刷；粉笔,1-502
80,10503,投影仪；黑板；黑板刷；粉笔,1-503
80,10504,投影仪；黑板；黑板刷；粉笔,1-504
200,10505,投影仪；黑板；黑板刷；粉笔,1-505
300,10506,投影仪；黑板；黑板刷；粉笔,1-506
120,10507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-507
200,10508,投影仪；黑板；黑板刷；粉笔,1-508
80,10509,投影仪；黑板；黑板刷；粉笔,1-509
80,10510,投影仪；黑板；黑板刷；粉笔,1-510
80,10511,投影仪；黑板；黑板刷；粉笔,1-511
80,10512,投影仪；黑板；黑板刷；粉笔,1-512
300,10601,投影仪；黑板；黑板刷；粉笔,1-601
80,10602,投影仪；黑板；黑板刷；粉笔,1-602
80,10603,投影仪；黑板；黑板刷；粉笔,1-603
80,10604,投影仪；黑板；黑板刷；粉笔,1-604
200,10605,投影仪；黑板；黑板刷；粉笔,1-605
300,10606,投影仪；黑板；黑板刷；粉笔,1-606
120,10607,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",1-607
200,10608,投影仪；黑板；黑板刷；粉笔,1-608
80,10609,投影仪；黑板；黑板刷；粉笔,1-609
80,10610,投影仪；黑板；黑板刷；粉笔,1-610
80,10611,投影仪；黑板；黑板刷；粉笔,1-611
80,10612,投影仪；黑板；黑板刷；粉笔,1-612
300,20101,投影仪；黑板；黑板刷；粉笔,2-101
80,20102,投影仪；黑板；黑板刷；粉笔,2-102
80,20103,投影仪；黑板；黑板刷；粉笔,2-103
80,20104,投影仪；黑板；黑板刷；粉笔,2-104
300,20105,投影仪；黑板；黑板刷；粉笔,2-105
200,20106,投影仪；黑板；黑板刷；粉笔,2-106
120,20107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-107
300,20108,投影仪；黑板；黑板刷；粉笔,2-108
80,20109,投影仪；黑板；黑板刷；粉笔,2-109
80,20110,投影仪；黑板；黑板刷；粉笔,2-110
80,20111,投影仪；黑板；黑板刷；粉笔,2-111
80,20112,投影仪；黑板；黑板刷；粉笔,2-112
300,20201,投影仪；黑板；黑板刷；粉笔,2-201
80,20202,投影仪；黑板；黑板刷；粉笔,2-202
80,20203,投影仪；黑板；黑板刷；粉笔,2-203
80,20204,投影仪；黑板；黑板刷；粉笔,2-204
200,20205,投影仪；黑板；黑板刷；粉笔,2-205
200,20206,投影仪；黑板；黑板刷；粉笔,2-206
120,20207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-207
200,20208,投影仪；黑板；黑板刷；粉笔,2-208
80,20209,投影仪；黑板；黑板刷；粉笔,2-209
80,20210,投影仪；黑板；黑板刷；粉笔,2-210
80,20211,投影仪；黑板；黑板刷；粉笔,2-211
80,20212,投影仪；黑板；黑板刷；粉笔,2-212
200,20301,投影仪；黑板；黑板刷；粉笔,2-301
80,20302,投影仪；黑板；黑板刷；粉笔,2-302
80,20303,投影仪；黑板；黑板刷；粉笔,2-303
80,20304,投影仪；黑板；黑板刷；粉笔,2-304
200,20305,投影仪；黑板；黑板刷；粉笔,2-305
300,20306,投影仪；黑板；黑板刷；粉笔,2-306
120,20307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-307
300,20308,投影仪；黑板；黑板刷；粉笔,2-308
80,20309,投影仪；黑板；黑板刷；粉笔,2-309
80,20310,投影仪；黑板；黑板刷；粉笔,2-310
80,20311,投影仪；黑板；黑板刷；粉笔,2-311
80,20312,投影仪；黑板；黑板刷；粉笔,2-312
300,20401,投影仪；黑板；黑板刷；粉笔,2-401
80,20402,投影仪；黑板；黑板刷；粉笔,2-402
80,20403,投影仪；黑板；黑板刷；粉笔,2-403
80,20404,投影仪；黑板；黑板刷；粉笔,2-404
200,20405,投影仪；黑板；黑板刷；粉笔,2-405
300,20406,投影仪；黑板；黑板刷；粉笔,2-406
120,20407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-407
300,20408,投影仪；黑板；黑板刷；粉笔,2-408
80,20409,投影仪；黑板；黑板刷；粉笔,2-409
80,20410,投影仪；黑板；黑板刷；粉笔,2-410
80,20411,投影仪；黑板；黑板刷；粉笔,2-411
80,20412,投影仪；黑板；黑板刷；粉笔,2-412
200,20501,投影仪；黑板；黑板刷；粉笔,2-501
80,20502,投影仪；黑板；黑板刷；粉笔,2-502
80,20503,投影仪；黑板；黑板刷；粉笔,2-503
80,20504,投影仪；黑板；黑板刷；粉笔,2-504
200,20505,投影仪；黑板；黑板刷；粉笔,2-505
300,20506,投影仪；黑板；黑板刷；粉笔,2-506
120,20507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-507
200,20508,投影仪；黑板；黑板刷；粉笔,2-508
80,20509,投影仪；黑板；黑板刷；粉笔,2-509
80,20510,投影仪；黑板；黑板刷；粉笔,2-510
80,20511,投影仪；黑板；黑板刷；粉笔,2-511
80,20512,投影仪；黑板；黑板刷；粉笔,2-512
300,20601,投影仪；黑板；黑板刷；粉笔,2-601
80,20602,投影仪；黑板；黑板刷；粉笔,2-602
80,20603,投影仪；黑板；黑板刷；粉笔,2-603
80,20604,投影仪；黑板；黑板刷；粉笔,2-604
300,20605,投影仪；黑板；黑板刷；粉笔,2-605
300,20606,投影仪；黑板；黑板刷；粉笔,2-606
120,20607,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",2-607
200,20608,投影仪；黑板；黑板刷；粉笔,2-608
80,20609,投影仪；黑板；黑板刷；粉笔,2-609
80,20610,投影仪；黑板；黑板刷；粉笔,2-610
80,20611,投影仪；黑板；黑板刷；粉笔,2-611
80,20612,投影仪；黑板；黑板刷；粉笔,2-612
200,30101,投影仪；黑板；黑板刷；粉笔,3-101
80,30102,投影仪；黑板；黑板刷；粉笔,3-102
80,30103,投影仪；黑板；黑板刷；粉笔,3-103
80,30104,投影仪；黑板；黑板刷；粉笔,3-104
300,30105,投影仪；黑板；黑板刷；粉笔,3-105
200,30106,投影仪；黑板；黑板刷；粉笔,3-106
120,30107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-107
300,30108,投影仪；黑板；黑板刷；粉笔,3-108
80,30109,投影仪；黑板；黑板刷；粉笔,3-109
80,30110,投影仪；黑板；黑板刷；粉笔,3-110
80,30111,投影仪；黑板；黑板刷；粉笔,3-111
80,30112,投影仪；黑板；黑板刷；粉笔,3-112
300,30201,投影仪；黑板；黑板刷；粉笔,3-201
80,30202,投影仪；黑板；黑板刷；粉笔,3-202
80,30203,投影仪；黑板；黑板刷；粉笔,3-203
80,30204,投影仪；黑板；黑板刷；粉笔,3-204
300,30205,投影仪；黑板；黑板刷；粉笔,3-205
200,30206,投影仪；黑板；黑板刷；粉笔,3-206
120,30207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-207
300,30208,投影仪；黑板；黑板刷；粉笔,3-208
80,30209,投影仪；黑板；黑板刷；粉笔,3-209
80,30210,投影仪；黑板；黑板刷；粉笔,3-210
80,30211,投影仪；黑板；黑板刷；粉笔,3-211
80,30212,投影仪；黑板；黑板刷；粉笔,3-212
300,30301,投影仪；黑板；黑板刷；粉笔,3-301
80,30302,投影仪；黑板；黑板刷；粉笔,3-302
80,30303,投影仪；黑板；黑板刷；粉笔,3-303
80,30304,投影仪；黑板；黑板刷；粉笔,3-304
300,30305,投影仪；黑板；黑板刷；粉笔,3-305
200,30306,投影仪；黑板；黑板刷；粉笔,3-306
120,30307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-307
200,30308,投影仪；黑板；黑板刷；粉笔,3-308
80,30309,投影仪；黑板；黑板刷；粉笔,3-309
80,30310,投影仪；黑板；黑板刷；粉笔,3-310
80,30311,投影仪；黑板；黑板刷；粉笔,3-311
80,30312,投影仪；黑板；黑板刷；粉笔,3-312
200,30401,投影仪；黑板；黑板刷；粉笔,3-401
80,30402,投影仪；黑板；黑板刷；粉笔,3-402
80,30403,投影仪；黑板；黑板刷；粉笔,3-403
80,30404,投影仪；黑板；黑板刷；粉笔,3-404
200,30405,投影仪；黑板；黑板刷；粉笔,3-405
200,30406,投影仪；黑板；黑板刷；粉笔,3-406
120,30407,投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-407
200,30408,投影仪；黑板；黑板刷；粉笔,3-408
80,30409,投影仪；黑板；黑板刷；粉笔,3-409
80,30410,投影仪；黑板；黑板刷；粉笔,3-410
80,30411,投影仪；黑板；黑板刷；粉笔,3-411
80,30412,投影仪；黑板；黑板刷；粉笔,3-412
200,30501,投影仪；黑板；黑板刷；粉笔,3-501
80,30502,投影仪；黑板；黑板刷；粉笔,3-502
80,30503,投影仪；黑板；黑板刷；粉笔,3-503
80,30504,投影仪；黑板；黑板刷；粉笔,3-504
300,30505,投影仪；黑板；黑板刷；粉笔,3-505
300,30506,投影仪；黑板；黑板刷；粉笔,3-506
120,30507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-507
300,30508,投影仪；黑板；黑板刷；粉笔,3-508
80,30509,投影仪；黑板；黑板刷；粉笔,3-509
80,30510,投影仪；黑板；黑板刷；粉笔,3-510
80,30511,投影仪；黑板；黑板刷；粉笔,3-511
80,30512,投影仪；黑板；黑板刷；粉笔,3-512
300,30601,投影仪；黑板；黑板刷；粉笔,3-601
80,30602,投影仪；黑板；黑板刷；粉笔,3-602
80,30603,投影仪；黑板；黑板刷；粉笔,3-603
80,30604,投影仪；黑板；黑板刷；粉笔,3-604
200,30605,投影仪；黑板；黑板刷；粉笔,3-605
300,30606,投影仪；黑板；黑板刷；粉笔,3-606
120,30607,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",3-607
300,30608,投影仪；黑板；黑板刷；粉笔,3-608
80,30609,投影仪；黑板；黑板刷；粉笔,3-609
80,30610,投影仪；黑板；黑板刷；粉笔,3-610
80,30611,投影仪；黑板；黑板刷；粉笔,3-611
80,30612,投影仪；黑板；黑板刷；粉笔,3-612
300,40101,投影仪；黑板；黑板刷；粉笔,4-101
80,40102,投影仪；黑板；黑板刷；粉笔,4-102
80,40103,投影仪；黑板；黑板刷；粉笔,4-103
80,40104,投影仪；黑板；黑板刷；粉笔,4-104
300,40105,投影仪；黑板；黑板刷；粉笔,4-105
200,40106,投影仪；黑板；黑板刷；粉笔,4-106
120,40107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-107
300,40108,投影仪；黑板；黑板刷；粉笔,4-108
80,40109,投影仪；黑板；黑板刷；粉笔,4-109
80,40110,投影仪；黑板；黑板刷；粉笔,4-110
80,40111,投影仪；黑板；黑板刷；粉笔,4-111
80,40112,投影仪；黑板；黑板刷；粉笔,4-112
300,40201,投影仪；黑板；黑板刷；粉笔,4-201
80,40202,投影仪；黑板；黑板刷；粉笔,4-202
80,40203,投影仪；黑板；黑板刷；粉笔,4-203
80,40204,投影仪；黑板；黑板刷；粉笔,4-204
300,40205,投影仪；黑板；黑板刷；粉笔,4-205
300,40206,投影仪；黑板；黑板刷；粉笔,4-206
120,40207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-207
300,40208,投影仪；黑板；黑板刷；粉笔,4-208
80,40209,投影仪；黑板；黑板刷；粉笔,4-209
80,40210,投影仪；黑板；黑板刷；粉笔,4-210
80,40211,投影仪；黑板；黑板刷；粉笔,4-211
80,40212,投影仪；黑板；黑板刷；粉笔,4-212
300,40301,投影仪；黑板；黑板刷；粉笔,4-301
80,40302,投影仪；黑板；黑板刷；粉笔,4-302
80,40303,投影仪；黑板；黑板刷；粉笔,4-303
80,40304,投影仪；黑板；黑板刷；粉笔,4-304
300,40305,投影仪；黑板；黑板刷；粉笔,4-305
200,40306,投影仪；黑板；黑板刷；粉笔,4-306
120,40307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-307
200,40308,投影仪；黑板；黑板刷；粉笔,4-308
80,40309,投影仪；黑板；黑板刷；粉笔,4-309
80,40310,投影仪；黑板；黑板刷；粉笔,4-310
80,40311,投影仪；黑板；黑板刷；粉笔,4-311
80,40312,投影仪；黑板；黑板刷；粉笔,4-312
300,40401,投影仪；黑板；黑板刷；粉笔,4-401
80,40402,投影仪；黑板；黑板刷；粉笔,4-402
80,40403,投影仪；黑板；黑板刷；粉笔,4-403
80,40404,投影仪；黑板；黑板刷；粉笔,4-404
300,40405,投影仪；黑板；黑板刷；粉笔,4-405
300,40406,投影仪；黑板；黑板刷；粉笔,4-406
120,40407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-407
200,40408,投影仪；黑板；黑板刷；粉笔,4-408
80,40409,投影仪；黑板；黑板刷；粉笔,4-409
80,40410,投影仪；黑板；黑板刷；粉笔,4-410
80,40411,投影仪；黑板；黑板刷；粉笔,4-411
80,40412,投影仪；黑板；黑板刷；粉笔,4-412
200,40501,投影仪；黑板；黑板刷；粉笔,4-501
80,40502,投影仪；黑板；黑板刷；粉笔,4-502
80,40503,投影仪；黑板；黑板刷；粉笔,4-503
80,40504,投影仪；黑板；黑板刷；粉笔,4-504
200,40505,投影仪；黑板；黑板刷；粉笔,4-505
200,40506,投影仪；黑板；黑板刷；粉笔,4-506
120,40507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-507
300,40508,投影仪；黑板；黑板刷；粉笔,4-508
80,40509,投影仪；黑板；黑板刷；粉笔,4-509
80,40510,投影仪；黑板；黑板刷；粉笔,4-510
80,40511,投影仪；黑板；黑板刷；粉笔,4-511
80,40512,投影仪；黑板；黑板刷；粉笔,4-512
300,40601,投影仪；黑板；黑板刷；粉笔,4-601
80,40602,投影仪；黑板；黑板刷；粉笔,4-602
80,40603,投影仪；黑板；黑板刷；粉笔,4-603
80,40604,投影仪；黑板；黑板刷；粉笔,4-604
300,40605,投影仪；黑板；黑板刷；粉笔,4-605
300,40606,投影仪；黑板；黑板刷；粉笔,4-606
120,40607,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-607
200,40608,投影仪；黑板；黑板刷；粉笔,4-608
80,40609,投影仪；黑板；黑板刷；粉笔,4-609
80,40610,投影仪；黑板；黑板刷；粉笔,4-610
80,40611,投影仪；黑板；黑板刷；粉笔,4-611
80,40612,投影仪；黑板；黑板刷；粉笔,4-612
300,40701,投影仪；黑板；黑板刷；粉笔,4-701
80,40702,投影仪；黑板；黑板刷；粉笔,4-702
80,40703,投影仪；黑板；黑板刷；粉笔,4-703
80,40704,投影仪；黑板；黑板刷；粉笔,4-704
200,40705,投影仪；黑板；黑板刷；粉笔,4-705
300,40706,投影仪；黑板；黑板刷；粉笔,4-706
120,40707,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",4-707
300,40708,投影仪；黑板；黑板刷；粉笔,4-708
80,40709,投影仪；黑板；黑板刷；粉笔,4-709
80,40710,投影仪；黑板；黑板刷；粉笔,4-710
80,40711,投影仪；黑板；黑板刷；粉笔,4-711
80,40712,投影仪；黑板；黑板刷；粉笔,4-712
300,50101,投影仪；黑板；黑板刷；粉笔,5-101
80,50102,投影仪；黑板；黑板刷；粉笔,5-102
80,50103,投影仪；黑板；黑板刷；粉笔,5-103
80,50104,投影仪；黑板；黑板刷；粉笔,5-104
200,50105,投影仪；黑板；黑板刷；粉笔,5-105
200,50106,投影仪；黑板；黑板刷；粉笔,5-106
120,50107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",5-107
300,50108,投影仪；黑板；黑板刷；粉笔,5-108
80,50109,投影仪；黑板；黑板刷；粉笔,5-109
80,50110,投影仪；黑板；黑板刷；粉笔,5-110
80,50111,投影仪；黑板；黑板刷；粉笔,5-111
80,50112,投影仪；黑板；黑板刷；粉笔,5-112
200,50201,投影仪；黑板；黑板刷；粉笔,5-201
80,50202,投影仪；黑板；黑板刷；粉笔,5-202
80,50203,投影仪；黑板；黑板刷；粉笔,5-203
80,50204,投影仪；黑板；黑板刷；粉笔,5-204
300,50205,投影仪；黑板；黑板刷；粉笔,5-205
200,50206,投影仪；黑板；黑板刷；粉笔,5-206
120,50207,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",5-207
300,50208,投影仪；黑板；黑板刷；粉笔,5-208
80,50209,投影仪；黑板；黑板刷；粉笔,5-209
80,50210,投影仪；黑板；黑板刷；粉笔,5-210
80,50211,投影仪；黑板；黑板刷；粉笔,5-211
80,50212,投影仪；黑板；黑板刷；粉笔,5-212
300,50301,投影仪；黑板；黑板刷；粉笔,5-301
80,50302,投影仪；黑板；黑板刷；粉笔,5-302
80,50303,投影仪；黑板；黑板刷；粉笔,5-303
80,50304,投影仪；黑板；黑板刷；粉笔,5-304
300,50305,投影仪；黑板；黑板刷；粉笔,5-305
200,50306,投影仪；黑板；黑板刷；粉笔,5-306
120,50307,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",5-307
300,50308,投影仪；黑板；黑板刷；粉笔,5-308
80,50309,投影仪；黑板；黑板刷；粉笔,5-309
80,50310,投影仪；黑板；黑板刷；粉笔,5-310
80,50311,投影仪；黑板；黑板刷；粉笔,5-311
80,50312,投影仪；黑板；黑板刷；粉笔,5-312
300,50401,投影仪；黑板；黑板刷；粉笔,5-401
80,50402,投影仪；黑板；黑板刷；粉笔,5-402
80,50403,投影仪；黑板；黑板刷；粉笔,5-403
80,50404,投影仪；黑板；黑板刷；粉笔,5-404
300,50405,投影仪；黑板；黑板刷；粉笔,5-405
200,50406,投影仪；黑板；黑板刷；粉笔,5-406
120,50407,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",5-407
200,50408,投影仪；黑板；黑板刷；粉笔,5-408
80,50409,投影仪；黑板；黑板刷；粉笔,5-409
80,50410,投影仪；黑板；黑板刷；粉笔,5-410
80,50411,投影仪；黑板；黑板刷；粉笔,5-411
80,50412,投影仪；黑板；黑板刷；粉笔,5-412
200,50501,投影仪；黑板；黑板刷；粉笔,5-501
80,50502,投影仪；黑板；黑板刷；粉笔,5-502
80,50503,投影仪；黑板；黑板刷；粉笔,5-503
80,50504,投影仪；黑板；黑板刷；粉笔,5-504
200,50505,投影仪；黑板；黑板刷；粉笔,5-505
300,50506,投影仪；黑板；黑板刷；粉笔,5-506
120,50507,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
；化学试剂套装；传感器；电压表；电流表；频谱分析仪等电工实验器材；安全隔离仪器；医学仪器；工程光学仪器等",5-507
200,50508,投影仪；黑板；黑板刷；粉笔,5-508
80,50509,投影仪；黑板；黑板刷；粉笔,5-509
80,50510,投影仪；黑板；黑板刷；粉笔,5-510
80,50511,投影仪；黑板；黑板刷；粉笔,5-511
80,50512,投影仪；黑板；黑板刷；粉笔,5-512
200,60101,投影仪；黑板；黑板刷；粉笔,6-101
80,60102,投影仪；黑板；黑板刷；粉笔,6-102
80,60103,投影仪；黑板；黑板刷；粉笔,6-103
80,60104,投影仪；黑板；黑板刷；粉笔,6-104
200,60105,投影仪；黑板；黑板刷；粉笔,6-105
200,60106,投影仪；黑板；黑板刷；粉笔,6-106
120,60107,"投影仪；黑板；黑板刷；粉笔；多媒体；耳机；语音箱
